Obs,RegOut1,ClassLabel,RegOut2,TimeTouchBps,Input1,Input2,Input3,Input4,Input5
165,99.3568,FALSE,131.92,1.3864,0.944444444,0,16.51,42.4869,0
166,98.407,FALSE,37.11,0.5018,0.857142857,0.88888,0,0,1.59
167,78.195,FALSE,161.4,1.9809,0.9,0.55172,25.55,65.7429,0
168,35.3623,FALSE,81020.67,0.831,0.058605406,0,0,0,39.44
169,137.5422,FALSE,306.98,5.2676,0.858823529,0.0625,0,0,3.73
170,76.8126,FALSE,642.61,0.4496,0.654829545,0.04347,0,0,25.73
171,142.4068,FALSE,444.03,13.7651,0.222972973,0,33.33,79.3361,32.54
172,102.5178,FALSE,53.54,0.2345,0.774193548,0.2,25.86,66.558,0.83
173,155.6624,TRUE,49.88,4.6319,0.8125,0,0,0,4.21
174,85.1879,FALSE,68.74,1.5418,0.928571429,0.46666,5.2,11.7803,8.96
175,72.8673,FALSE,295.86,0.8191,0.850393701,0.84341,2.33,5.2943,14.6
176,126.9383,FALSE,1691.07,2.4745,0.04015544,0,0,0,49.77
177,96.8009,FALSE,198.11,0.9642,0.576923077,0.65,0,0,1.04
178,83.0868,FALSE,457.74,0.7323,0.287815126,0,0.51,1,31.77
179,84.9847,FALSE,193.98,0.5951,0.220833333,0,14.94,33.8564,5.38
180,67.5257,FALSE,48.88,0.9603,1,0.8,0,0,0
181,134.495,FALSE,32.8,0.6286,0.352941176,0.14285,0,0,0
182,91.9577,FALSE,6350.02,2.6934,0.039358329,0,2.19,4.9761,126.07
183,66.5956,FALSE,94.46,0.3537,0.842857143,0,22.52,57.9659,1.66
184,160.3827,TRUE,44.74,0.8106,0.553191489,0,0,0,0.33
185,66.3131,FALSE,923.49,2.3529,0.885416667,0.14107,13.61,35.0423,76.89
186,80.5826,FALSE,320.08,0.5543,0.300546448,0,32.62,73.8961,4.4
187,90.4435,FALSE,493.94,2.5263,0.752704791,0,0,0,11.03
188,87.8289,FALSE,922.73,2.1264,0.789871504,0.76908,31.66,81.4724,24.71
189,128.2738,FALSE,207.17,1.542,0.846153846,0,3.54,8.0201,21.62
190,60.4676,FALSE,738.5,2.5292,0.777173913,0.07643,70.29,180.8515,0.5
191,61.5419,FALSE,965.59,1.1888,0.058035714,0,0,0,29.39
192,74.629,FALSE,638.23,1.9974,0.730769231,0.78365,39.72,102.2228,12.05
193,154.3155,TRUE,454.77,7.9813,0.787234043,0.43589,46.73,112.5625,15.45
194,69.8085,FALSE,155.51,1.2907,0.804347826,0,0,0,0.48
195,51.8597,FALSE,1838.67,0.9178,0.868866328,0,80.03,181.2693,64.32
196,71.8463,FALSE,627.35,4.4212,0.726618705,0,35.04,90.1558,22.95
197,107.0055,FALSE,358.01,3.147,0.874439462,0,46.57,119.8403,2.89
198,78.6943,FALSE,273.2,1.6247,0.848484848,0,79.63,188.3288,0.8
199,45.843,FALSE,2419.8,0.3353,0.527626459,0.55375,0,0,56.44
200,144.4958,FALSE,5.19,0.5251,1,0,0,0,0
201,112.524,FALSE,499.67,0.5796,0.866666667,0.36315,28.79,65.2321,41.5
