DATE,USERS
05/25/2018,117836
05/26/2018,90648
05/27/2018,56501
05/28/2018,82403
05/29/2018,126760
05/30/2018,133520
05/31/2018,135877
06/01/2018,128407
06/02/2018,100325
06/03/2018,64358
06/04/2018,133815
06/05/2018,140509
06/06/2018,139225
06/07/2018,141067
06/08/2018,131844
06/09/2018,99867
06/10/2018,65456
06/11/2018,133144
06/12/2018,125236
06/13/2018,135302
06/14/2018,133091
06/15/2018,129382
06/16/2018,95435
06/17/2018,60138
06/18/2018,129043
06/19/2018,131830
06/20/2018,108239
06/21/2018,106257
06/22/2018,115660
06/23/2018,100216
06/24/2018,63127
06/25/2018,127331
06/26/2018,131669
06/27/2018,129386
06/28/2018,129150
06/29/2018,129953
06/30/2018,95237
07/01/2018,64721
07/02/2018,134757
07/03/2018,130287
07/04/2018,88637
07/05/2018,128103
07/06/2018,133182
07/07/2018,100569
07/08/2018,66867
07/09/2018,147063
07/10/2018,154265
07/11/2018,142957
07/12/2018,139297
07/13/2018,145218
07/14/2018,104083
07/15/2018,67927
07/16/2018,137520
07/17/2018,144781
07/18/2018,140548
07/19/2018,137372
07/20/2018,131870
07/21/2018,99070
07/22/2018,65966
07/23/2018,136052
07/24/2018,141764
07/25/2018,143764
07/26/2018,145634
07/27/2018,136112
07/28/2018,94863
07/29/2018,62915
07/30/2018,127321
07/31/2018,132326
08/01/2018,141243
08/02/2018,133086
08/03/2018,134321
08/04/2018,100044
08/05/2018,54573
08/06/2018,141640
08/07/2018,142918
08/08/2018,142342
08/09/2018,132705
08/10/2018,126626
08/11/2018,93627
08/12/2018,60917
08/13/2018,127108
08/14/2018,133732
08/15/2018,135598
08/16/2018,133817
08/17/2018,135886
08/18/2018,100411
08/19/2018,63048
08/20/2018,133752
08/21/2018,144315
08/22/2018,138160
08/23/2018,133202
08/24/2018,130964
08/25/2018,103125
08/26/2018,63738
08/27/2018,141828
08/28/2018,153313
08/29/2018,146175
08/30/2018,143887
08/31/2018,126029
09/01/2018,98937
09/02/2018,59110
09/03/2018,87656
09/04/2018,134817
09/05/2018,137234
09/06/2018,132230
09/07/2018,128052
09/08/2018,93645
09/09/2018,58433
09/10/2018,127249
09/11/2018,133087
09/12/2018,132998
09/13/2018,133912
09/14/2018,136027
09/15/2018,90204
09/16/2018,60407
09/17/2018,128841
09/18/2018,135089
09/19/2018,138246
09/20/2018,142987
09/21/2018,142877
09/22/2018,102020
09/23/2018,62517
09/24/2018,130544
09/25/2018,111723
09/26/2018,129342
09/27/2018,107768
09/28/2018,126096
09/29/2018,82780
09/30/2018,65668
10/01/2018,141153
10/02/2018,130993
10/03/2018,144147
10/04/2018,120011
10/05/2018,131305
10/06/2018,76559
10/07/2018,70552
10/08/2018,143006
10/09/2018,144305
10/10/2018,140438
10/11/2018,145803
10/12/2018,125921
10/13/2018,79599
10/14/2018,59011
10/15/2018,136080
10/16/2018,138044
10/17/2018,139466
10/18/2018,128427
10/19/2018,124400
10/20/2018,93702
10/21/2018,58770
10/22/2018,126607
10/23/2018,129059
10/24/2018,131247
10/25/2018,121270
10/26/2018,127125
10/27/2018,78580
10/28/2018,60145
10/29/2018,129903
10/30/2018,132516
10/31/2018,132486
11/01/2018,141007
11/02/2018,134824
11/03/2018,95213
11/04/2018,62176
11/05/2018,133342
11/06/2018,130236
11/07/2018,143301
11/08/2018,143442
11/09/2018,130488
11/10/2018,85687
11/11/2018,61074
11/12/2018,121988
11/13/2018,129229
11/14/2018,126595
11/15/2018,128551
11/16/2018,125933
11/17/2018,96570
11/18/2018,59955
11/19/2018,126992
11/20/2018,131331
11/21/2018,114925
11/22/2018,81521
11/23/2018,87890
11/24/2018,88394
11/25/2018,57360
11/26/2018,128698
11/27/2018,135810
11/28/2018,137828
11/29/2018,141518
11/30/2018,133633
12/01/2018,100677
12/02/2018,66763
12/03/2018,140412
12/04/2018,143057
12/05/2018,128388
12/06/2018,124747
12/07/2018,122702
